Customer_Number,Name,Account_Number,DOB,Balance,Pin,City,Mobile_Number
1,Arun Kumar,123456789012,01/01/1990,5000,1234,Tenkasi,9876543210
2,Seena Rani,234567890123,15/05/1985,5000,5678,Tenkasi,8765432109
3,Prakash Ravi,345678901234,23/09/1992,5000,9012,Tenkasi,7654321098
4,Mariamma,456789012345,30/12/1988,5000,3456,Tenkasi,6543210987
5,Ravi Kumar,567890123456,11/11/1991,5000,6789,Tenkasi,5432109876
6,Sunita Patel,678901234567,22/07/1987,5000,7890,Tenkasi,4321098765
7,Kumaravel,789012345678,03/03/1993,5000,8901,Tenkasi,3210987654
8,Anitha Rani,890123456789,14/02/1990,5000,2345,Tenkasi,2109876543
9,Vikram Singh,901234567890,25/08/1985,5000,3456,Tenkasi,1098765432
10,Manju Devi,012345678901,09/10/1989,5000,4567,Tenkasi,0987654321
11,Ajay Sharma,123456780912,19/12/1986,5000,5678,Tenkasi,9876509876
12,Deepa Krishnan,234567891023,29/01/1988,5000,6789,Tenkasi,8765412345
13,Suresh Kumar,345678902134,17/07/1990,5000,7890,Tenkasi,7654321098
14,Jaya Lakshmi,456789013245,21/06/1987,5000,8901,Tenkasi,6543210987
15,Narendra,567890124356,10/04/1992,5000,2345,Tenkasi,5432109876
16,Kavitha,678901235467,12/09/1988,5000,3456,Tenkasi,4321098765
17,Subramanian,789012346578,06/03/1990,5000,4567,Tenkasi,3210987654
18,Meena Rani,890123457689,20/11/1989,5000,5678,Tenkasi,2109876543
19,Arvind,901234568790,04/02/1991,5000,6789,Tenkasi,1098765432
20,Geetha,012345679801,30/06/1985,5000,7890,Tenkasi,0987654321
21,Harish Kumar,123456789013,11/12/1992,5000,8901,Tenkasi,9876543210
22,Preethi,234567890124,09/04/1988,5000,2345,Tenkasi,8765432109
23,Surya,345678901235,18/08/1990,5000,3456,Tenkasi,7654321098
24,Nithya,456789012346,22/01/1986,5000,4567,Tenkasi,6543210987
25,Manoj,567890123457,03/05/1991,5000,5678,Tenkasi,5432109876
26,Rekha,678901234568,13/07/1988,5000,6789,Tenkasi,4321098765
27,Venu,789012345679,07/09/1992,5000,7890,Tenkasi,3210987654
28,Anu,890123456780,26/12/1985,5000,8901,Tenkasi,2109876543
29,Satish,901234567891,15/06/1990,5000,2345,Tenkasi,1098765432
30,Lakshmi,012345678902,21/11/1987,5000,3456,Tenkasi,0987654321
31,Muthu,908053101217,17/08/2004,50000,2004,Tenkasi,9080531012
32,Banu,638284237509,9/10/2004,60000,2004,Tirunelveli,6382842375
33,Anitha,994415069119,19/09/2004,80000,1719,Tenkasi,9944150691
34,Sika,890302317054,14/12/2003,70000,2003,Tenkasi,8903023170
